ERRO,COMANDO,IDPRODUTO
"IDProduto não encontrado","E",5907065
"IDProduto não encontrado","E",5905877
"IDProduto não encontrado","E",5897293
"IDProduto não encontrado","E",5904544
"IDProduto não encontrado","E",5896195
"IDProduto não encontrado","E",5897681
"IDProduto não encontrado","E",5906514
"IDProduto não encontrado","E",5906515
"IDProduto não encontrado","E",5906516
"IDProduto não encontrado","E",5906517
"IDProduto não encontrado","E",5897281
"IDProduto não encontrado","E",5897282
"IDProduto não encontrado","E",5897283
"IDProduto não encontrado","E",5906538
"IDProduto não encontrado","E",5897295
"IDProduto não encontrado","E",5897296
"IDProduto não encontrado","E",5906539
"IDProduto não encontrado","E",5897297
"IDProduto não encontrado","E",5906540
"IDProduto não encontrado","E",5906541
"IDProduto não encontrado","E",5906542
"IDProduto não encontrado","E",5905058
"IDProduto não encontrado","E",5905059
"IDProduto não encontrado","E",5906498
"IDProduto não encontrado","E",5907057
"IDProduto não encontrado","E",5907058
"IDProduto não encontrado","E",5897689
"IDProduto não encontrado","E",5897690
"IDProduto não encontrado","E",5897691
"IDProduto não encontrado","E",5880972
"IDProduto não encontrado","E",5897692
"IDProduto não encontrado","E",5880971
"IDProduto não encontrado","E",5897693
"IDProduto não encontrado","E",5904124
"IDProduto não encontrado","E",5897694
"IDProduto não encontrado","E",5906466
"IDProduto não encontrado","E",5897516
"IDProduto não encontrado","E",5897255
"IDProduto não encontrado","E",5896158
"IDProduto não encontrado","E",5897514
"IDProduto não encontrado","E",5897517
"IDProduto não encontrado","E",5905868
"IDProduto não encontrado","E",5896196
"IDProduto não encontrado","E",5896197
"IDProduto não encontrado","E",5896198
"IDProduto não encontrado","E",5897266
"IDProduto não encontrado","E",5906299
"IDProduto não encontrado","E",5906300
"IDProduto não encontrado","E",5896186
"IDProduto não encontrado","E",5896187
"IDProduto não encontrado","E",5896188
"IDProduto não encontrado","E",5901494
"IDProduto não encontrado","E",5901495
"IDProduto não encontrado","E",5906463
"IDProduto não encontrado","E",5906482
"IDProduto não encontrado","E",5906483
"IDProduto não encontrado","E",5906484
"IDProduto não encontrado","E",5906500
"IDProduto não encontrado","E",5906472
"IDProduto não encontrado","E",5906471
"IDProduto não encontrado","E",5906477
"IDProduto não encontrado","E",5906478
"IDProduto não encontrado","E",5906475
"IDProduto não encontrado","E",5906476
"IDProduto não encontrado","E",5906501
"IDProduto não encontrado","E",5906485
"IDProduto não encontrado","E",5906487
"IDProduto não encontrado","E",5906486
"IDProduto não encontrado","E",5905865
"IDProduto não encontrado","E",5905878
"IDProduto não encontrado","E",5905875
"IDProduto não encontrado","E",5896185
"IDProduto não encontrado","E",5901466
"IDProduto não encontrado","E",5904538
"IDProduto não encontrado","E",5905866
"IDProduto não encontrado","E",5905867
"IDProduto não encontrado","E",5897683
"IDProduto não encontrado","E",5905876
"IDProduto não encontrado","E",5901463
"IDProduto não encontrado","E",5897650
"IDProduto não encontrado","E",5904540
"IDProduto não encontrado","E",5904541
"IDProduto não encontrado","E",5904542
"IDProduto não encontrado","E",5904543
"IDProduto não encontrado","E",5904545
"IDProduto não encontrado","E",5906503
"IDProduto não encontrado","E",5906468
"IDProduto não encontrado","E",5906470
"IDProduto não encontrado","E",5906469
"IDProduto não encontrado","E",5906490
"IDProduto não encontrado","E",5906489
"IDProduto não encontrado","E",5906488
"IDProduto não encontrado","E",5906494
"IDProduto não encontrado","E",5906493
"IDProduto não encontrado","E",5906492
"IDProduto não encontrado","E",5906495
"IDProduto não encontrado","E",5906491
"IDProduto não encontrado","E",5901492
"IDProduto não encontrado","E",5901493
"IDProduto não encontrado","E",5904121
"IDProduto não encontrado","E",5905993
"IDProduto não encontrado","E",5906005
"IDProduto não encontrado","E",5906021
"IDProduto não encontrado","E",5905995
"IDProduto não encontrado","E",5906035
"IDProduto não encontrado","E",5906002
"IDProduto não encontrado","E",5906045
"IDProduto não encontrado","E",5906046
"IDProduto não encontrado","E",5906042
"IDProduto não encontrado","E",5906009
"IDProduto não encontrado","E",5906010
"IDProduto não encontrado","E",5906043
"IDProduto não encontrado","E",5906024
"IDProduto não encontrado","E",5906025
"IDProduto não encontrado","E",5906026
"IDProduto não encontrado","E",5906027
"IDProduto não encontrado","E",5906011
"IDProduto não encontrado","E",5906031
"IDProduto não encontrado","E",5906012
"IDProduto não encontrado","E",5906028
"IDProduto não encontrado","E",5906047
"IDProduto não encontrado","E",5905992
"IDProduto não encontrado","E",5904117
"IDProduto não encontrado","E",5904118
"IDProduto não encontrado","E",5906003
"IDProduto não encontrado","E",5904122
"IDProduto não encontrado","E",5906029
"IDProduto não encontrado","E",5904110
"IDProduto não encontrado","E",5904119
"IDProduto não encontrado","E",5905996
"IDProduto não encontrado","E",5922450
"IDProduto não encontrado","E",5922447
"IDProduto não encontrado","E",5922449
"IDProduto não encontrado","E",5922451
"IDProduto não encontrado","E",5922448
"IDProduto não encontrado","E",5904111
"IDProduto não encontrado","E",5904123
"IDProduto não encontrado","E",5904113
"IDProduto não encontrado","E",5904116
"IDProduto não encontrado","E",5906013
"IDProduto não encontrado","E",5904120
"IDProduto não encontrado","E",5906036
"IDProduto não encontrado","E",5905994
"IDProduto não encontrado","E",5906044
"IDProduto não encontrado","E",5906037
"IDProduto não encontrado","E",5906004
"IDProduto não encontrado","E",5906001
"IDProduto não encontrado","E",5906000
"IDProduto não encontrado","E",5905999
"IDProduto não encontrado","E",5904112
"IDProduto não encontrado","E",5905997
"IDProduto não encontrado","E",5906528
"IDProduto não encontrado","E",5906506
"IDProduto não encontrado","E",5906507
"IDProduto não encontrado","E",5897273
"IDProduto não encontrado","E",5897274
"IDProduto não encontrado","E",5906508
"IDProduto não encontrado","E",5897275
"IDProduto não encontrado","E",5906522
"IDProduto não encontrado","E",5906523
"IDProduto não encontrado","E",5906467
"IDProduto não encontrado","E",5897294
"IDProduto não encontrado","E",5897270
"IDProduto não encontrado","E",5906502
"IDProduto não encontrado","E",5897271
"IDProduto não encontrado","E",5897272
"IDProduto não encontrado","E",5906524
"IDProduto não encontrado","E",5906525
"IDProduto não encontrado","E",5906526
"IDProduto não encontrado","E",5906527
"IDProduto não encontrado","E",5905057
"IDProduto não encontrado","E",5905060
"IDProduto não encontrado","E",5901467
"IDProduto não encontrado","E",5897638
"IDProduto não encontrado","E",5904114
"IDProduto não encontrado","E",5901485
"IDProduto não encontrado","E",5904115
"IDProduto não encontrado","E",5897574
"IDProduto não encontrado","E",5906016
"IDProduto não encontrado","E",5901477
"IDProduto não encontrado","E",5897564
"IDProduto não encontrado","E",5897566
"IDProduto não encontrado","E",5897509
"IDProduto não encontrado","E",5897622
"IDProduto não encontrado","E",5901503
"IDProduto não encontrado","E",5901471
"IDProduto não encontrado","E",5914616
"IDProduto não encontrado","E",5901504
"IDProduto não encontrado","E",5901472
"IDProduto não encontrado","E",5914608
"IDProduto não encontrado","E",5901491
"IDProduto não encontrado","E",5901496
"IDProduto não encontrado","E",5914615
"IDProduto não encontrado","E",5897565
"IDProduto não encontrado","E",5897721
"IDProduto não encontrado","E",5897608
"IDProduto não encontrado","E",5897609
"IDProduto não encontrado","E",5897508
